Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir
2/15/13,-7,-3.9,-5.4,-5.1,6.1,96.4,nan,4.7,nan
2/16/13,-11.7,-6.8,-9.3,-8.5,6.1,95.4,nan,nan,nan
2/17/13,-12.1,-8.9,-10.5,-10.8,6,92.2,nan,nan,nan
2/18/13,-8.9,-6.3,-7.6,-7.8,6,92.6,nan,4.1,116
2/19/13,-9,-7.7,-8.3,-8.3,6,94,nan,3.1,nan
2/20/13,-9.1,-7.8,-8.5,-8.4,6,90.9,nan,7.1,nan
2/21/13,-9.7,-7.6,-8.6,-8.4,6,88.8,nan,7.4,nan
2/22/13,-9.8,-7,-8.4,-8.8,6,88.1,nan,nan,nan
2/23/13,-11.8,-8.9,-10.4,-10.4,6,94,nan,nan,nan
2/24/13,-11.7,-8.6,-10.1,-10.3,6,92.8,nan,2.1,207
2/25/13,-13.9,-10.4,-12.1,-11.9,5.9,84.1,nan,3.7,nan
2/26/13,-10.3,-7.7,-9,-8.9,6,84.2,nan,9.3,98
2/27/13,-9.4,-7.8,-8.6,-8.4,6,91.6,nan,10.1,nan
2/28/13,-8.8,-6.2,-7.5,-7.4,6,92.4,nan,7.7,nan
3/1/13,-9.3,-7.1,-8.2,-8.1,6,95.1,nan,4.1,181
3/2/13,-11.2,-4.9,-8.1,-9.2,6,77.2,nan,2.7,nan
3/3/13,-11.7,-8.3,-10,-9.9,6,88.5,nan,1.9,nan
3/4/13,-10.8,-7.1,-8.9,-9.1,6,36.7,nan,4.6,nan
3/5/13,-9.3,-2,-5.6,-6.5,5.9,16.7,nan,1.9,nan
3/6/13,-7.5,-2.3,-4.9,-5.8,5.9,32.8,nan,1.4,69
3/7/13,-8.2,0.6,-3.8,-5.4,5.9,56.1,nan,2.3,nan
3/8/13,-9.3,-5.7,-7.5,-7.7,5.9,69.7,nan,2.6,186
3/9/13,-8,-5.7,-6.9,-7.2,6,89.7,nan,3.4,167
3/10/13,-11,-7.9,-9.4,-9.1,6,94.4,nan,1.4,nan
